Occupancy,FIRM,Flood Zone,Total loss ratio (%),Foundation (%),Below First Floor (%),Structure Framing (%),Roof Covering (%),Roof Framing (%),Exterior Walls (%),Interiors (%)
COM4,1,A ,70,0,0,0,0,0,0.05,69.95
COM4,1,A ,80,0,0,0,0,0,0.06,79.94
COM4,1,A ,90,0,0,0,0,0,0.06,89.93
COM4,1,A ,100,0,0,0,0,0,0.09,99.91
COM4,1,CA,0,0,0,0,0,0,0,0
COM4,1,CA,10,0,0,0,0,0,0,10
COM4,1,CA,20,0,0,0,0,0,0.01,19.99
COM4,1,CA,30,0,0,0,0,0,0.01,29.99
COM4,1,CA,40,0,0,0,0,0,0.02,39.98
COM4,1,CA,50,0,0,0,0,0,0.03,49.97
COM4,1,CA,60,0,0,0,0,0,0.04,59.96
COM4,1,CA,70,0,0,0,0,0,0.05,69.95
COM4,1,CA,80,0,0,0,0,0,0.06,79.94
COM4,1,CA,90,0,0,0,0,0,0.07,89.93
COM4,1,CA,100,0,0,0,0,0,0.08,99.91
COM4,1,V ,0,0,0,0,0,0,0,0
COM4,1,V ,10,0,0,0,0,0,0,10
COM4,1,V ,20,0,0,0,0,0,0.01,19.99
COM4,1,V ,30,0,0,0,0,0,0.01,29.99
COM4,1,V ,40,0,0,0,0,0,0.02,39.98
COM4,1,V ,50,0,0,0,0,0,0.03,49.97
COM4,1,V ,60,0,0,0,0,0,0.04,59.96
COM4,1,V ,70,0,0,0,0,0,0.05,69.95
COM4,1,V ,80,0,0,0,0,0,0.06,79.94
COM4,1,V ,90,0,0,0,0,0,0.07,89.93
COM4,1,V ,100,0,0,0,0,0,0.08,99.91
COM5,0,A ,0,0,0,0,0,0,0,0
COM5,0,A ,10,0,0,0,0,0,0,10
COM5,0,A ,20,0,0,0,0,0,0,20
COM5,0,A ,30,0,0,0,0,0,0,30
COM5,0,A ,40,0,0,0,0,0,0,40
COM5,0,A ,50,0,0,0,0,0,0,50
COM5,0,A ,60,0,0,0,0,0,0,60
COM5,0,A ,70,0,0,0,0,0,0,70
COM5,0,A ,80,0,0,0,0,0,0,80
COM5,0,A ,90,0,0,0,0,0,0,90
COM5,0,A ,100,0,0,0,0,0,0,99.99
COM5,0,CA,0,0,0,0,0,0,0,0
COM5,0,CA,10,0,0,0,0,0,0,10
COM5,0,CA,20,0,0,0,0,0,0,20
COM5,0,CA,30,0,0,0,0,0,0,30
COM5,0,CA,40,0,0,0,0,0,0,40
COM5,0,CA,50,0,0,0,0,0,0,50
COM5,0,CA,60,0,0,0,0,0,0,60
COM5,0,CA,70,0,0,0,0,0,0,70
COM5,0,CA,80,0,0,0,0,0,0,80
COM5,0,CA,90,0,0,0,0,0,0,90
COM5,0,CA,100,0,0,0,0,0,0,99.99
COM5,0,V ,0,0,0,0,0,0,0,0
COM5,0,V ,10,0,0,0,0,0,0,10
COM5,0,V ,20,0,0,0,0,0,0,20
COM5,0,V ,30,0,0,0,0,0,0,30
COM5,0,V ,40,0,0,0,0,0,0,40
COM5,0,V ,50,0,0,0,0,0,0,50
COM5,0,V ,60,0,0,0,0,0,0,60
COM5,0,V ,70,0,0,0,0,0,0,70
COM5,0,V ,80,0,0,0,0,0,0,80
COM5,0,V ,90,0,0,0,0,0,0,90
COM5,0,V ,100,0,0,0,0,0,0,99.99
COM5,1,A ,0,0,0,0,0,0,0,0
COM5,1,A ,10,0,0,0,0,0,0,10
COM5,1,A ,20,0,0,0,0,0,0,20
COM5,1,A ,30,0,0,0,0,0,0,30
COM5,1,A ,40,0,0,0,0,0,0,40
COM5,1,A ,50,0,0,0,0,0,0,50
COM5,1,A ,60,0,0,0,0,0,0,60
COM5,1,A ,70,0,0,0,0,0,0,70
COM5,1,A ,80,0,0,0,0,0,0,80
COM5,1,A ,90,0,0,0,0,0,0,89.99
COM5,1,A ,100,0,0,0,0,0,0,99.99
COM5,1,CA,0,0,0,0,0,0,0,0
COM5,1,CA,10,0,0,0,0,0,0,10
COM5,1,CA,20,0,0,0,0,0,0,20
COM5,1,CA,30,0,0,0,0,0,0,30
COM5,1,CA,40,0,0,0,0,0,0,40
COM5,1,CA,50,0,0,0,0,0,0,50
COM5,1,CA,60,0,0,0,0,0,0,60
COM5,1,CA,70,0,0,0,0,0,0,70
COM5,1,CA,80,0,0,0,0,0,0,80
COM5,1,CA,90,0,0,0,0,0,0,89.99
COM5,1,CA,100,0,0,0,0,0,0,99.99
COM5,1,V ,0,0,0,0,0,0,0,0
COM5,1,V ,10,0,0,0,0,0,0,10
COM5,1,V ,20,0,0,0,0,0,0,20
COM5,1,V ,30,0,0,0,0,0,0,30
COM5,1,V ,40,0,0,0,0,0,0,40
COM5,1,V ,50,0,0,0,0,0,0,50
COM5,1,V ,60,0,0,0,0,0,0,60
COM5,1,V ,70,0,0,0,0,0,0,70
COM5,1,V ,80,0,0,0,0,0,0,80
