Occupancy,FIRM,Total loss ratio (%),Foundation (%),Below First Floor (%),Structure Framing (%),Roof Covering (%),Roof Framing (%),Exterior Walls (%),Interiors (%)
COM9,0,70,0.11,0,0.03,5.37,1.69,5.09,57.71
COM9,0,80,0.41,0,0.6,5.91,2.9,6.56,63.63
COM9,0,90,0.94,0,1.66,6.07,4.63,7.46,69.24
COM9,0,100,1.05,0,1.86,6.25,5.17,8.33,77.31
COM9,1,0,0,0,0,0,0,0,0
COM9,1,10,0,0,0,2.82,0.25,0.63,6.29
COM9,1,20,0,0,0,3.55,0.67,1.09,14.69
COM9,1,30,0,0,0,4.15,0.88,1.62,23.34
COM9,1,40,0,0,0,4.54,1.04,2.23,32.19
COM9,1,50,0,0,0,4.88,1.26,2.84,41.03
COM9,1,60,0.06,0,0.01,5.24,1.45,3.6,49.64
COM9,1,70,0.21,0,0.03,5.63,1.77,4.8,57.56
COM9,1,80,0.79,0,0.57,6.17,3.03,6.17,63.28
COM9,1,90,1.8,0,1.56,6.25,4.82,6.99,68.59
COM9,1,100,2.37,0,2.05,6.25,6.35,9.19,73.75
EDU1,0,0,0,0,0,0,0,0,0
EDU1,0,10,0,0,0,1.74,0.54,0.63,7.1
EDU1,0,20,0,0,0,2.17,1.01,1.04,15.78
EDU1,0,30,0,0,0,2.51,1.39,1.61,24.49
EDU1,0,40,0,0,0,2.83,1.67,2.25,33.24
EDU1,0,50,0,0,0,2.97,2,2.87,42.16
EDU1,0,60,0,0,0,3.18,2.4,3.52,50.89
EDU1,0,70,0,0,0.01,3.37,3.01,4.68,58.92
EDU1,0,80,0.13,0,0.48,3.6,4.15,6.17,65.47
EDU1,0,90,1.15,0,3.15,3.65,4.94,7.23,69.88
EDU1,0,100,1.28,0,3.51,3.75,5.51,8.05,77.89
EDU1,1,0,0,0,0,0,0,0,0
EDU1,1,10,0,0,0,1.81,0.56,0.59,7.04
EDU1,1,20,0,0,0,2.26,1.06,0.98,15.7
EDU1,1,30,0,0,0,2.62,1.45,1.52,24.41
EDU1,1,40,0,0,0,2.96,1.75,2.12,33.16
EDU1,1,50,0,0,0,3.11,2.09,2.71,42.09
EDU1,1,60,0,0,0,3.33,2.52,3.32,50.82
EDU1,1,70,0.01,0,0.01,3.54,3.16,4.42,58.87
EDU1,1,80,0.3,0,0.46,3.75,4.34,5.82,65.33
EDU1,1,90,2.67,0,2.98,3.75,5.1,6.72,68.78
