,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberofStories1,NoUnits,PlanArea0,PlanArea1,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,HazusClassW,HazusClassIN,HazusClassWA,AnalysisDefault,AnalysisAdopted,Modifications,z0,structureType,replacementCost,originID
37,NJBF000069522,100 S NORTH CAROLINA AVE,Atlantic City,NJ,39.36117815,-74.42469566,COM1,3003,100,NaN,ME,1982,1982,3401,2,0,31554.39973,31554.39973,3507,NO,29.85,36.09,1,0.47,6106,114.714629,124.299534,134.107991,140.359489,I,Above,Flat,0,NaN,Wood,32.96561069,0,0,,,,1,1,,0.03,nav,1,2879
38,NJBF000067126,5219 WELLINGTON AVE,Ventnor City,NJ,39.35219284,-74.480485,COM1,3003,,NaN,ME,1982,1982,3401,1,1,3112.718698,3112.718698,3507,NO,13.83,21.16,1,1.86,6106,113.610088,123.386618,133.110071,139.594352,I,Above,Flat,0,NaN,,17.49422256,0,0,,,,1,1,,0.03,nav,1,4865
39,NJBF000083345,529 S NEW YORK RD,Galloway,NJ,39.44275733,-74.47802367,COM1,3003,562,NaN,ME,1992,1992,3401,2,1,3439.636383,3439.636383,3507,NO,26.82,35.75,1,-0.02,6112,112.802825,122.472991,132.127159,138.213243,I,Above,Gable,0,NaN,,31.28504917,0,0,,,,1,1,,0.35,nav,1,3761
40,NJBF000070351,1411 DREXEL AVE,Atlantic City,NJ,39.3667895,-74.4320585,RES3C,3003,,17,E,2007,2007,3305,2,1,766.9773282,766.9773282,3507,NO,27.06,37.98,1,1.27,6106,114.48954,124.106103,133.900371,140.166241,I,Above,Gable,0,NaN,Wood,32.52154366,0,0,,,,2,2,,0.03,nav,1,6248
41,NJBF000075076,306 S MAIN ST,Pleasantville,NJ,39.38863732,-74.52490788,COM1,3003,,NaN,ME,2010,2010,3401,1,1,11692.02322,11692.02322,3507,NO,15.06,21.7,1,0.95,6110,112.217859,122.206414,131.855345,138.159782,I,Above,Flat,0,NaN,,18.38054021,0,0,,,,1,1,,1,nav,1,6393
42,NJBF000074931,310 E BLACK HORSE PIKE,Pleasantville,NJ,39.38820591,-74.51848316,COM1,3003,959,NaN,ME,2015,2015,3401,1,1,5687.644715,5687.644715,3507,NO,10.94,23.23,1,-0.32,6106,112.364416,122.323968,131.979664,138.293419,I,Above,Flat,0,NaN,,17.08336503,0,0,,,,1,1,,0.03,nav,1,6002
43,NJBF000086450,6935 BLACK HORSE PIKE,Hamilton,NJ,39.51390851,-74.77842456,COM4,3004,210,NaN,ME,1948,1948,3401,1,1,16322.74663,16322.74663,3507,NO,14.43,20.93,1,1.98,6110,108.468344,117.609405,127.30293,131.226104,I,Above,Flat,0,5701,,17.67638697,0,0,,,,1,1,,1,nav,1,555
44,NJBF000067933,17 S CALIFORNIA AVE,Atlantic City,NJ,39.35505965,-74.4438384,RES3A,3004,,45,NE,1940,1940,3301,4,3,1106.02091,1106.02091,3505,YES,67.49,76.87,3,6.23,6106,114.377438,124.016144,133.79143,140.150842,I,Above,Flat,0,5701,Wood,72.17815322,0,0,,,,1,1,,0.03,nav,1,3903
45,NJBF000071585,1000 SEWELL AVE,Atlantic City,NJ,39.371001,-74.42897166,RES3C,3004,,33,ME,1920,1920,3301,2,1,2434.136116,2434.136116,3505,NO,23.18,29.25,3,-0.06,6106,114.50636,124.118298,133.917324,140.154888,I,Above,Flat,0,NaN,Wood,26.21392565,0,0,,,,1,1,,0.03,nav,1,1575
46,NJBF000067532,112 S TEXAS AVE,Atlantic City,NJ,39.35374935,-74.44195231,RES3A,3004,,45,NE,1951,1951,3301,2,2,1190.423227,1190.423227,3505,NO,30.12,41.29,3,5.53,6106,114.434654,124.064327,133.842736,140.198904,I,Above,Hip,0,5701,Wood,35.70291661,0,0,,,,1,1,,0.03,nav,1,675
47,NJBF000057402,,Somers Point,NJ,39.33050917,-74.59520012,COM1,3004,,NaN,ME,1969,0,3401,1,1,11849.89921,11849.89921,3507,NO,12.8,21.15,1,0.76,6112,111.45316,121.621223,131.32293,137.601687,I,Above,Flat,0,NaN,,16.97565766,0,0,,,,1,1,,1,nav,1,1399
48,NJBF000054164,,Margate City,NJ,39.32258811,-74.5203292,RES3B,3004,,NaN,ME,1969,0,3301,1,1,4125.121338,4125.121338,3505,NO,15.45,28.72,3,-0.39,6106,113.14151,123.011634,132.698438,139.2482,I,Above,Flat,0,NaN,,22.08220942,0,0,,,,1,1,,0.03,nav,1,1457
49,NJBF000070799,24 N VERMONT AVE,Atlantic City,NJ,39.36847723,-74.41510563,RES3D,3004,29,NaN,E,1969,0,3303,4,1,3227.227931,3227.227931,3505,NO,76.59,86.08,3,8.75,6106,114.831509,124.398829,134.225009,140.406687,I,Above,Flat,0,NaN,Wood,81.33669568,0,0,,,,1,1,,0.03,nav,1,1221
50,NJBF000095360,51 N WHITE HORSE PK,Hammonton,NJ,39.64970618,-74.79125476,GOV2,3004,,NaN,E,1970,1970,3401,1,1,11339.30035,11339.30035,3507,NO,21.05,27.5,1,2.79,6112,108.016068,116.338541,126.216419,129.465977,I,Above,Gable,0,5701,,24.27340785,0,0,,,,1,1,,1,nav,1,1707
51,NJBF000056903,180 EXTON RD,Somers Point,NJ,39.3295025,-74.6092315,RES3D,3004,20,NaN,ME,1971,1971,3301,2,1,6588.726024,6588.726024,3507,NO,29.15,41.95,1,1.56,6110,111.217464,121.395159,131.10962,137.326055,I,Above,Gable,0,NaN,,35.55092647,0,0,,,,1,1,,0.35,nav,1,699
52,NJBF000083177,334 WAVELAND AVE,Galloway,NJ,39.4389745,-74.52216105,COM4,3004,660,15,ME,1989,1989,3401,1,2,949.9101366,949.9101366,3507,NO,11.67,21.16,1,-0.78,6112,111.936404,121.737682,131.320812,137.414387,I,Above,Gable,0,NaN,,16.41406922,0,0,,,,1,1,,1,nav,1,5395
53,NJBF000054347,20A N WASHINGTON AVE,Margate City,NJ,39.32312337,-74.51492155,RES3C,3004,,39,ME,1984,1984,3301,3,1,1094.607767,1094.607767,3505,NO,52.72,65.86,3,3.9,6106,113.251173,123.100433,132.79051,139.351221,I,Above,Flat,0,5701,,59.2856875,0,1.1,,,,1,1,,0.03,nav,1,3017
54,NJBF000070949,118 HOUSTON AVE,Atlantic City,NJ,39.36895475,-74.41774422,RES3D,3004,,37,E,1991,1991,3303,2,1,1259.671486,1259.671486,3505,NO,30.01,36.71,3,7.52,6106,114.769858,124.345442,134.166361,140.359354,I,Above,Gable,0,NaN,Wood,33.36162631,0,0,,,,1,1,,0.03,nav,1,4047
55,NJBF000071205,207 GRAMMERCY PL,Atlantic City,NJ,39.36975058,-74.41456687,RES3D,3004,,28,E,1997,1997,3303,2,2,2265.173094,2265.173094,3505,NO,29.29,39.72,3,6.43,6106,114.827925,124.395492,134.22256,140.397614,I,Above,Hip,0,NaN,Wood,34.50184309,0,0,,,,1,1,,0.03,nav,1,2432
56,NJBF000071172,136 N RHODE ISLAND AVE,Atlantic City,NJ,39.36965582,-74.41743749,RES3D,3004,,27,E,2005,2005,3303,2,1,2166.425644,2166.425644,3505,NO,24.47,30.67,3,-0.21,6106,114.768135,124.343779,134.165188,140.354467,I,Above,Hip,0,NaN,Wood,27.57236549,0,0,,,,1,1,,0.03,nav,1,1209
57,NJBF000071182,410 MADISON AVE,Atlantic City,NJ,39.36968698,-74.41779165,RES3D,3004,,17,E,2005,2005,3303,2,1,1107.846639,1107.846639,3505,NO,38.14,53.01,3,2.52,6106,114.760228,124.336941,134.157648,140.34853,I,Above,Gable,0,NaN,Wood,45.57743371,0,0,,,,1,1,,0.03,nav,1,2603
58,NJBF000070851,117 N CONGRESS AVE,Atlantic City,NJ,39.36864162,-74.41869082,RES3D,3004,,16,E,2011,2011,3303,3,1,802.0152211,802.0152211,3505,NO,35.33,42.74,3,1.3,6106,114.753413,124.33133,134.150448,140.348989,I,Above,Flat,0,NaN,Wood,39.03848087,0,0,,,,1,1,,0.03,nav,1,4149
59,NJBF000070902,118 N MASSACHUSETTS AVE,Atlantic City,NJ,39.36880762,-74.41846797,RES3D,3004,,16,E,2011,2011,3303,3,1,709.3505582,709.3505582,3505,NO,42.15,54.26,3,-0.95,6106,114.756199,124.33369,134.153217,140.350157,I,Above,Hip,0,NaN,Wood,48.20750768,0,0,,,,1,1,,0.03,nav,1,1310
60,NJBF000097484,221 COLUMBIA RD,Hammonton,NJ,39.66442193,-74.76504316,AGR1,3002,,15,NE,1940,1940,3401,1,1,1472.420015,1472.420015,3507,NO,16.89,24.04,1,2.98,6103,108.195876,116.411555,126.333375,129.627018,I,Above,Flat,0,5701,,20.46252452,0,0,,,,1,1,,0.03,nav,1,1822
61,NJBF000088045,,Port Republic,NJ,39.54763197,-74.46234038,COM4,3002,,NaN,ME,1940,0,3401,2,1,1646.407216,1646.407216,3507,NO,29.84,39.58,1,0.17,6106,112.455822,121.567875,131.158504,136.943158,I,Above,Flat,0,5701,,34.7065761,0,0,,,,1,1,,0.03,nav,1,184
62,NJBF000052049,23 MAYS LANDING RD,Somers Point,NJ,39.31265761,-74.61287565,COM1,3002,,NaN,ME,1956,1956,3401,1,1,34819.11281,34819.11281,3507,NO,17.07,24.59,1,0.16,6110,111.46761,121.545171,131.236146,137.492116,I,Above,Flat,0,NaN,,20.82998617,0,0,,,,1,1,,1,nav,1,625
63,NJBF000087482,7 NEW YORK RD,Port Republic,NJ,39.5346575,-74.4655905,IND3,3002,,NaN,E,1950,1950,3401,1,1,1479.066246,1479.066246,3507,NO,12.94,18.93,1,2.07,6112,112.476775,121.669075,131.268282,137.073269,I,Above,Flat,0,5701,,15.93881638,0,0,,,,1,1,,0.7,nav,1,55
64,NJBF000088315,838 CHESTNUT NECK RD,Port Republic,NJ,39.54803791,-74.46150522,COM4,3002,,NaN,ME,1956,0,3401,1,1,528.1563887,528.1563887,3507,NO,14.2,21.22,1,1.43,6102,112.467603,121.577652,131.168241,136.954051,I,Above,Flat,0,5701,,17.71108713,0,0,,,,1,1,,0.03,nav,1,119
65,NJBF000083941,45 MILL STREET,Hamilton,NJ,39.45229668,-74.73683343,IND4,3002,330,NaN,E,1963,1963,3401,1,1,120820.4836,120820.4836,3507,NO,11.07,19.29,1,-0.32,6110,108.957248,118.534814,128.209824,132.873379,I,Above,Flat,0,5701,,15.17759393,0,0,,,,1,1,,1,nav,1,155
66,NJBF000057684,1723 MAYS LANDING S.P.RD,Egg Harbor,NJ,39.33098611,-74.64185131,IND2,3002,959,NaN,ME,1969,0,3401,3,1,7153.751923,7153.751923,3507,NO,58.56,63.78,1,0.89,6106,110.696883,120.834901,130.592793,136.629403,I,Above,Flat,0,5703,,61.16946147,0,0,,,,1,1,,0.03,nav,1,566
