,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberofStories1,NoUnits,PlanArea0,PlanArea1,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,HazusClassW,HazusClassIN,HazusClassWA,AnalysisDefault,AnalysisAdopted,Modifications,z0,structureType,replacementCost,yearBuilt,stories,area,occupancy
40,NJBF000072465,400 N NEW HAMPSHIRE AVE,Atlantic City,NJ,39.37376697,-74.41696374,RES3C,3001,,NaN,ME,1969,0,3301,2,1,3486.234049,3486.234049,3505,NO,33.22,42.55,3,8.11,6106,114.730283,124.309735,134.131251,140.305114,I,Above,Hip,0,NaN,Wood,37.88500131,0,0,,,,1,1,,0.03,nav,1,1969,2,,
41,NJBF000071361,141 N NEW HAMPSHIRE AVE,Atlantic City,NJ,39.37036284,-74.41401886,RES3D,3004,,27,E,2000,2000,3303,2,2,1771.71857,1771.71857,3505,NO,37.97,52.11,3,4.35,6106,114.832352,124.399208,134.227272,140.397732,I,Above,Hip,0,NaN,Wood,45.03804989,0,1.1,,,,1,1,,0.03,nav,1,2000,2,,
42,NJBF000067147,3 N ST DAVIDS PL,Atlantic City,NJ,39.35230731,-74.45456624,RES3B,3001,,45,E,1900,1900,3303,2,2,1421.969062,1421.969062,3507,NO,40.74,49.17,1,2.91,6106,114.178444,123.851606,133.610149,140.023565,I,Above,Flat,0,NaN,Wood,44.95855826,0,0,,,,1,1,,0.03,nav,1,1900,2,,
43,NJBF000072609,1404 PENROSE AVE,Atlantic City,NJ,39.37426708,-74.44507169,RES1,3001,,17,NE,1900,1900,3102,2,1,1743.978387,1743.978387,3505,NO,42.35,53.35,3,4.85,6106,114.122337,123.789865,133.558834,139.847478,I,Above,Hip,0,5701,Wood,47.84821412,0,0,,,,1,1,,0.03,nav,1,1900,2,,
44,NJBF000072085,2002 E RIVERSIDE DR,Atlantic City,NJ,39.3725323,-74.44528008,RES1,3001,,NaN,NE,1969,0,3102,2,1,4400.646067,4400.646067,3505,NO,40.28,54.56,3,3.54,6106,114.137595,123.804395,133.573665,139.869974,I,Above,Hip,0,5701,Wood,47.41756243,0,0,,,,1,1,,0.03,nav,1,1969,2,,
45,NJBF000071571,1605 W RIVERSIDE DR,Atlantic City,NJ,39.3709536,-74.45072537,RES1,3001,,17,NE,1900,1900,3101,2,1,1627.048044,1627.048044,3505,NO,44.56,58.13,3,8.2,6106,114.037623,123.722024,133.482671,139.804053,I,Above,Hip,0,5701,Wood,51.34463829,0,0,,,,1,1,,0.03,nav,1,1900,2,,
46,NJBF000068858,10 N MISSISSIPPI AVE,Atlantic City,NJ,39.357808,-74.440426,COM1,3003,,NaN,ME,1969,0,3401,3,1,1552.892811,1552.892811,3507,NO,37.39,42.62,1,-0.23,6106,114.417383,124.048753,133.829552,140.164178,I,Above,Flat,0,NaN,Wood,40.00441734,0,0,,,,1,1,,0.03,nav,1,1969,3,,
47,NJBF000068967,10 N MISSISSIPPI AVE,Atlantic City,NJ,39.358191,-74.44024029,COM1,3003,,NaN,ME,1969,0,3401,3,1,19774.75034,19774.75034,3507,NO,31.96,43.7,1,0.15,6106,114.416705,124.048057,133.829142,140.161553,I,Above,Flat,0,NaN,Wood,37.82853722,0,0,,,,1,1,,0.03,nav,1,1969,3,,
48,NJBF000067184,3029 PACIFIC AVE,Atlantic City,NJ,39.35246716,-74.44786077,COM1,3003,530,NaN,ME,1969,0,3401,2,1,4767.595549,4767.595549,3507,NO,28.01,35.63,1,1.37,6106,114.322502,123.971057,133.73994,140.126086,I,Above,Flat,0,NaN,Wood,31.82004957,0,0,,,,1,1,,0.03,nav,1,1969,2,,
49,NJBF000070051,408 N INDIANA AVE,Atlantic City,NJ,39.3656245,-74.4371055,RES1,3001,,45,NE,1920,1920,3101,2,2,1129.324234,1129.324234,3507,NO,26.5,35.41,1,0.76,6106,114.394697,124.0263,133.811762,140.103314,I,Above,Hip,0,5701,Wood,30.95482958,0,0,,,,1,1,,0.03,nav,1,1920,2,,
50,NJBF000067637,405 N ANNAPOLIS AVE,Atlantic City,NJ,39.35403396,-74.46286267,RES1,3001,,17,NE,1900,1900,3102,1,1,776.6966952,776.6966952,3505,NO,12.98,22.62,3,2.02,6106,113.975231,123.683311,133.429558,139.864088,I,Above,Flat,0,5701,Wood,17.7978336,0,0,,,,1,1,,0.03,nav,1,1900,1,,
51,NJBF000065525,1 S KINGSTON AVE,Atlantic City,NJ,39.34733604,-74.46305125,RES3A,3001,,45,NE,1925,1925,3301,2,4,1928.841921,1928.841921,3505,YES,27.4,38.24,3,-1.26,6106,114.056126,123.752489,133.498861,139.964568,I,Above,Hip,0,5701,Wood,32.81874382,0,0,,,,1,1,,0.03,nav,1,1925,2,,
52,NJBF000070898,1104 ADRIATIC AVE,Atlantic City,NJ,39.36879059,-74.42817944,RES1,3001,,33,NE,1900,1900,3103,2,1,1532.420111,1532.420111,3505,YES,23.44,32.46,3,-0.13,6106,114.549161,124.155977,133.956985,140.198798,I,Above,Gable,0,5701,Wood,27.94726262,0,0,,,,1,1,,0.03,nav,1,1900,2,,
53,NJBF000068372,2801 ARCTIC AVE,Atlantic City,NJ,39.356535,-74.446991,RES3A,3001,738,NaN,NE,1969,0,3301,3,1,947.8162957,947.8162957,3505,YES,50.3,56.84,3,8.99,6106,114.290726,123.943249,133.713326,140.08006,I,Above,Flat,0,5701,Wood,53.57119258,0,0,,,,1,1,,0.03,nav,1,1969,3,,
54,NJBF000072114,730 SEWELL AVE,Atlantic City,NJ,39.37262817,-74.42491434,RES1,3001,,27,NE,1900,1900,3102,2,2,1902.722298,1902.722298,3505,YES,45.07,51.7,3,6.65,6106,114.57426,124.175618,133.981904,140.195999,I,Above,Flat,0,5701,Wood,48.3895872,0,0,,,,1,1,,0.03,nav,1,1900,2,,
55,NJBF000066996,40 N TRENTON AVE,Atlantic City,NJ,39.35163518,-74.45705066,RES3A,3001,,17,NE,1900,1900,3301,1,1,782.4421787,782.4421787,3505,NO,20.41,25.72,3,8.31,6106,114.132631,123.814004,133.568874,139.994375,I,Above,Gable,0,5701,Wood,23.06069605,0,0,,,,1,1,,0.03,nav,1,1900,1,,
