ID,RoofShape,FloodZone,Area,Longitude,Latitude,Terrain,DSWII,geometry,BuildingType,OccupancyClass,AvgJanTemp,Garage,RoofSlope,NumberofStories,MeanRoofHt,YearBuilt
11,Hip,X,458.493168,-93.23752324,30.13632802,76,133.1576371,"POLYGON ((-93.237432 30.136424, -93.237584 30.136425, -93.237585 30.136337, -93.237634 30.136337, -93.237635 30.136245, -93.23743399999999 30.136243, -93.237432 30.136424))",Wood,RES1,Above,0,0.143098647,1,14.60179357,1988
12,Hip,X,741.7363413,-93.23758669,30.13898553,24,133.0715183,"POLYGON ((-93.237466 30.138926, -93.237467 30.139097, -93.237702 30.139096, -93.2377 30.138869, -93.237492 30.13887, -93.237493 30.138926, -93.237466 30.138926))",Wood,RES1,Above,0,0.246384433,1,16.47971696,1992
13,Gable,X,523.9856503,-93.23892225,30.13413174,76,133.2311681,"POLYGON ((-93.239054 30.134114, -93.23905499999999 30.134041, -93.238839 30.134041, -93.238838 30.134137, -93.23880699999999 30.134137, -93.23880699999999 30.134228, -93.238995 30.134229, -93.238995 30.134114, -93.239054 30.134114))",Wood,RES1,Above,0,0.167359723,2,27.04290406,1988
14,Gable,X,441.8573757,-93.24033646,30.13791757,76,133.1107496,"POLYGON ((-93.240233 30.137961, -93.240274 30.137962, -93.240274 30.137997, -93.240447 30.137998, -93.240448 30.137874, -93.24036099999999 30.137874, -93.24036099999999 30.137828, -93.240234 30.137828, -93.240233 30.137961))",Wood,RES1,Above,0,0.239492724,1,16.35441316,1991
15,Flat,X,514.8871211,-93.24035679,30.13826326,76,133.0995601,"POLYGON ((-93.240442 30.138296, -93.240441 30.138139, -93.24029299999999 30.13814, -93.240295 30.13831, -93.240255 30.13831, -93.240256 30.138384, -93.24043 30.138383, -93.24042900000001 30.138327, -93.24037 30.138328, -93.24037 30.138297, -93.240442 30.138296))",Wood,RES1,Above,0,0,1,12,1992
16,Gable,X,453.1526531,-93.23830651,30.13254616,76,133.2814858,"POLYGON ((-93.23844200000001 30.132528, -93.238316 30.132428, -93.23817099999999 30.132565, -93.238297 30.132664, -93.23844200000001 30.132528))",Wood,RES1,Above,0,0.18838013,2,27.42509328,1989
17,Gable,X,454.5279903,-93.23684492,30.13406409,21,133.2298743,"POLYGON ((-93.23693900000001 30.133975, -93.23675900000001 30.133982, -93.23676500000001 30.134089, -93.23672000000001 30.134091, -93.236723 30.134146, -93.236948 30.134137, -93.23693900000001 30.133975))",Wood,RES1,Above,0,0.060931682,1,13.10784877,1988
18,Hip,X,378.0666931,-93.23755447,30.13662003,76,133.1482196,"POLYGON ((-93.23743399999999 30.136549, -93.23743399999999 30.136621, -93.237512 30.136621, -93.237512 30.13671, -93.237641 30.13671, -93.237641 30.136549, -93.23743399999999 30.136549))",Wood,RES1,Above,2.1,0.141983639,1,14.5815207,1987
19,Gable,X,507.3657164,-93.23684123,30.13434797,21,133.220673,"POLYGON ((-93.236795 30.13424, -93.236794 30.134283, -93.23674699999999 30.134283, -93.236744 30.134444, -93.23692699999999 30.134447, -93.236931 30.134243, -93.236795 30.13424))",Wood,RES1,Above,0,0.316496498,1,17.75448179,1988
20,Gable,X,344.9255251,-93.238936,30.137038,76,133.136961,"POLYGON ((-93.238834 30.137097, -93.23903799999999 30.137097, -93.23903799999999 30.136979, -93.238834 30.136979, -93.238834 30.137097))",Wood,COM1,Above,2.1,0.184531745,1,15.35512263,1991
21,Gable,X,604.7248409,-93.23683667,30.1373393,21,133.1237002,"POLYGON ((-93.236969 30.137437, -93.236968 30.137275, -93.236805 30.137276, -93.236805 30.137225, -93.236678 30.137225, -93.236679 30.137306, -93.236794 30.137306, -93.236794 30.137368, -93.236734 30.137369, -93.236734 30.137437, -93.236969 30.137437))",Wood,RES1,Above,0,0.276791221,1,17.03256765,1987
22,Flat,X,370.6636034,-93.2389,30.1379315,76,133.1079067,"POLYGON ((-93.238958 30.13782, -93.23884200000001 30.13782, -93.23884200000001 30.138043, -93.238958 30.138043, -93.238958 30.13782))",Wood,RES1,Above,0,0,1,12,1990
23,Hip,X,413.2254839,-93.238298,30.1356155,76,133.1820311,"POLYGON ((-93.238232 30.135728, -93.238359 30.13573, -93.238364 30.135503, -93.238237 30.135501, -93.238232 30.135728))",Wood,RES1,Above,0,0.284050795,1,17.1645599,1990
24,Gable,X,497.1344436,-93.23686234,30.13562965,21,133.1791778,"POLYGON ((-93.236718 30.13554, -93.23671899999999 30.135606, -93.236814 30.135605, -93.236816 30.135746, -93.236953 30.135745, -93.236952 30.135539, -93.236718 30.13554))",Wood,RES1,Above,0,0.189910425,1,15.45291682,1989
