ID,TestbedID,RoofShape,FloodZone,Area,Longitude,Latitude,Terrain,DSWII,BuildingType,AvgJanTemp,Garage,NumberOfStories,YearBuilt,RoofSlope,MeanRoofHt,geometry,OccupancyClass,FEMAID
246,25978,Hip,X,890.9192517,-93.29694936,30.17169169,51,132.0986718,Wood,Above,2.1,1,1997,0.28766089,17.23019801,"POLYGON ((-93.296837 30.171715, -93.29682699999999 30.171853, -93.29692900000001 30.171859, -93.296933 30.171799, -93.297059 30.171806, -93.29708100000001 30.171501, -93.29697899999999 30.171495, -93.29696800000001 30.171647, -93.29677 30.171636, -93.29676499999999 30.171711, -93.296837 30.171715))",RES3,79212
247,19967,Hip,X,826.6836284,-93.29426207,30.17107232,11,132.1144938,Wood,Above,0,1,1999,0.24,16.26,"POLYGON ((-93.29403600000001 30.17098, -93.294034 30.171047, -93.29419300000001 30.171052, -93.29418699999999 30.1712, -93.29439600000001 30.171206, -93.294398 30.171144, -93.29438399999999 30.171143, -93.294392 30.170944, -93.294302 30.170941, -93.29430000000001 30.170988, -93.29403600000001 30.17098))",RES1,79214
248,21672,Flat,X,903.6994524,-93.28275493,30.17341925,17,132.0169377,Wood,Above,0,1,1993,0,12,"POLYGON ((-93.28287 30.173282, -93.282642 30.17328, -93.28264 30.173557, -93.28286799999999 30.173558, -93.28287 30.173282))",RES3,79216
249,13589,Hip,X,931.5745862,-93.28798119,30.17214613,11,132.0680225,Wood,Above,2.1,1,1993,0.272624806,12.61,"POLYGON ((-93.28782099999999 30.172337, -93.28790600000001 30.172353, -93.28793899999999 30.172217, -93.288093 30.172246, -93.288147 30.172026, -93.287924 30.171985, -93.287897 30.172094, -93.287882 30.172091, -93.28782099999999 30.172337))",RES1,79227
250,19420,Flat,X,1097.548354,-93.2838055,30.1728105,17,132.0388837,Wood,Above,2.1,1,1991,0,12,"POLYGON ((-93.283945 30.172673, -93.283627 30.172712, -93.283666 30.172948, -93.283984 30.172909, -93.283945 30.172673))",RES3,79243
251,993,Hip,X,959.0919677,-93.29525635,30.17026903,11,132.1428571,Wood,Above,0,1,1997,0.310675263,17.64864115,"POLYGON ((-93.295134 30.170396, -93.295439 30.170397, -93.295439 30.17027, -93.295294 30.170269, -93.295295 30.170093, -93.295135 30.170093, -93.295134 30.170396))",RES3,79244
252,20833,Hip,X,1040.892153,-93.2880161,30.16935704,11,132.1604517,Wood,Above,0,1,1994,0.05,16.57,"POLYGON ((-93.28785000000001 30.169369, -93.28792 30.16937, -93.287919 30.169497, -93.28816 30.169499, -93.288162 30.169253, -93.287988 30.169252, -93.287989 30.169192, -93.287908 30.169191, -93.287908 30.169247, -93.287851 30.169246, -93.28785000000001 30.169369))",RES1,79263
253,26857,Hip,X,683.3566462,-93.29496377,30.1727413,51,132.0603835,Wood,Above,0,1,1996,0.075382551,13.37059183,"POLYGON ((-93.295051 30.172659, -93.29475100000001 30.172714, -93.294777 30.172818, -93.294847 30.172805, -93.29485200000001 30.172825, -93.295185 30.172764, -93.29516099999999 30.172669, -93.295058 30.172687, -93.295051 30.172659))",RES3,79283
254,27692,Hip,X,1216.284811,-93.28504039,30.17047692,42,132.118266,Wood,Above,1.1,2,1995,0.091412586,25.66204703,"POLYGON ((-93.285352 30.170564, -93.28535100000001 30.170437, -93.28520399999999 30.170438, -93.285203 30.170354, -93.285128 30.170354, -93.285129 30.170491, -93.28495700000001 30.170492, -93.28495599999999 30.170352, -93.28477100000001 30.170353, -93.284773 30.170533, -93.28483199999999 30.170532, -93.28483199999999 30.170567, -93.285352 30.170564))",RES1,79295
255,18524,Hip,X,1250.562378,-93.28973797,30.14661595,21,132.9129462,Wood,Above,0,1,1988,0.292541587,17.31893794,"POLYGON ((-93.289531 30.146716, -93.28965599999999 30.146727, -93.28966699999999 30.146631, -93.289745 30.146638, -93.289727 30.146804, -93.28986500000001 30.146816, -93.289883 30.146657, -93.28991600000001 30.14666, -93.289922 30.146599, -93.28984699999999 30.146593, -93.289863 30.146442, -93.289683 30.146427, -93.28967 30.146543, -93.289551 30.146533, -93.289531 30.146716))",RES3,79302
256,16498,Flat,X,1357.576836,-93.28313268,30.17337605,17,132.0190074,Wood,Above,2.1,1,1994,0,12,"POLYGON ((-93.282996 30.173062, -93.282977 30.173066, -93.28287400000001 30.173126, -93.28313900000001 30.173465, -93.283209 30.173702, -93.283343 30.173673, -93.28326300000001 30.173405, -93.282996 30.173062))",RES3,79323
257,2425,Hip,X,1553.785479,-93.29512369,30.14850801,21,132.8606282,Wood,Above,0,1,1996,0.195535724,15.55519499,"POLYGON ((-93.29527899999999 30.148613, -93.295266 30.148557, -93.295394 30.148534, -93.29535300000001 30.148358, -93.294826 30.148452, -93.294849 30.14855, -93.29492999999999 30.148535, -93.294962 30.148669, -93.29527899999999 30.148613))",RES3,79325
258,18224,Hip,X,1617.030675,-93.29686584,30.14701558,21,132.9128318,Wood,Above,0,1,1997,0.204091366,15.71075211,"POLYGON ((-93.297096 30.146994, -93.29681600000001 30.146842, -93.296779 30.146895, -93.296668 30.146835, -93.296564 30.146978, -93.296954 30.147189, -93.296969 30.147169, -93.297057 30.147217, -93.297144 30.147097, -93.297056 30.14705, -93.297096 30.146994))",RES3,79339
259,694,Gable,X,88.45504049,-93.2890907,30.17198265,11,132.0753482,Wood,Above,1.1,1,1994,0.102342399,13.86077089,"POLYGON ((-93.28914399999999 30.171959, -93.289058 30.171939, -93.28903800000001 30.172007, -93.289123 30.172026, -93.28914399999999 30.171959))",RES3,79476
