sta lon lat
1562.csv -74.4995 39.3322
1563.csv -74.4995 39.3354
1564.csv -74.4995 39.3386
1565.csv -74.4995 39.3418
1566.csv -74.4995 39.345
1567.csv -74.4995 39.3481
1568.csv -74.4995 39.3513
1569.csv -74.4995 39.3545
1570.csv -74.4995 39.3577
1571.csv -74.4995 39.3609
1572.csv -74.4995 39.3641
1573.csv -74.4995 39.3672
1574.csv -74.4995 39.3704
1575.csv -74.4995 39.3736
1576.csv -74.4995 39.3768
1577.csv -74.4995 39.38
1578.csv -74.4995 39.3832
1579.csv -74.4995 39.3863
1580.csv -74.4995 39.3895
1581.csv -74.4995 39.3927
1582.csv -74.4995 39.3959
1583.csv -74.4995 39.3991
1584.csv -74.4995 39.4023
1585.csv -74.4995 39.4054
1586.csv -74.4995 39.4086
1587.csv -74.4995 39.4118
1588.csv -74.4995 39.415
1589.csv -74.4995 39.4182
1590.csv -74.4995 39.4214
1591.csv -74.4995 39.4245
1592.csv -74.4995 39.4277
1593.csv -74.4995 39.4309
1594.csv -74.4995 39.4341
1595.csv -74.4995 39.4373
1596.csv -74.4995 39.4405
1597.csv -74.4995 39.4436
1598.csv -74.4995 39.4468
1599.csv -74.4995 39.45
1600.csv -74.4995 39.4532
1601.csv -74.4949 39.2972
1602.csv -74.4949 39.3004
1603.csv -74.4949 39.3036
1604.csv -74.4949 39.3068
1605.csv -74.4949 39.3099
1606.csv -74.4949 39.3131
1607.csv -74.4949 39.3163
1608.csv -74.4949 39.3195
1609.csv -74.4949 39.3227
1610.csv -74.4949 39.3259
1611.csv -74.4949 39.329
1612.csv -74.4949 39.3322
1613.csv -74.4949 39.3354
1614.csv -74.4949 39.3386
1615.csv -74.4949 39.3418
1616.csv -74.4949 39.345
1617.csv -74.4949 39.3481
1618.csv -74.4949 39.3513
1619.csv -74.4949 39.3545
1620.csv -74.4949 39.3577
1621.csv -74.4949 39.3609
1622.csv -74.4949 39.3641
1623.csv -74.4949 39.3672
1624.csv -74.4949 39.3704
1625.csv -74.4949 39.3736
1626.csv -74.4949 39.3768
1627.csv -74.4949 39.38
1628.csv -74.4949 39.3832
1629.csv -74.4949 39.3863
1630.csv -74.4949 39.3895
1631.csv -74.4949 39.3927
1632.csv -74.4949 39.3959
1633.csv -74.4949 39.3991
1634.csv -74.4949 39.4023
1635.csv -74.4949 39.4054
1636.csv -74.4949 39.4086
1637.csv -74.4949 39.4118
1638.csv -74.4949 39.415
1639.csv -74.4949 39.4182
1640.csv -74.4949 39.4214
1641.csv -74.4949 39.4245
1642.csv -74.4949 39.4277
1643.csv -74.4949 39.4309
1644.csv -74.4949 39.4341
1645.csv -74.4949 39.4373
1646.csv -74.4949 39.4405
1647.csv -74.4949 39.4436
1648.csv -74.4949 39.4468
1649.csv -74.4949 39.45
1650.csv -74.4949 39.4532
1651.csv -74.4903 39.2972
1652.csv -74.4903 39.3004
1653.csv -74.4903 39.3036
1654.csv -74.4903 39.3068
1655.csv -74.4903 39.3099
1656.csv -74.4903 39.3131
1657.csv -74.4903 39.3163
1658.csv -74.4903 39.3195
1659.csv -74.4903 39.3227
1660.csv -74.4903 39.3259
1661.csv -74.4903 39.329
1662.csv -74.4903 39.3322
1663.csv -74.4903 39.3354
1664.csv -74.4903 39.3386
1665.csv -74.4903 39.3418
1666.csv -74.4903 39.345
1667.csv -74.4903 39.3481
1668.csv -74.4903 39.3513
1669.csv -74.4903 39.3545
1670.csv -74.4903 39.3577
1671.csv -74.4903 39.3609
1672.csv -74.4903 39.3641
1673.csv -74.4903 39.3672
1674.csv -74.4903 39.3704
1675.csv -74.4903 39.3736
1676.csv -74.4903 39.3768
1677.csv -74.4903 39.38
1678.csv -74.4903 39.3832
1679.csv -74.4903 39.3863
1680.csv -74.4903 39.3895
1681.csv -74.4903 39.3927
1682.csv -74.4903 39.3959
1683.csv -74.4903 39.3991
1684.csv -74.4903 39.4023
1685.csv -74.4903 39.4054
1686.csv -74.4903 39.4086
1687.csv -74.4903 39.4118
1688.csv -74.4903 39.415
1689.csv -74.4903 39.4182
1690.csv -74.4903 39.4214
1691.csv -74.4903 39.4245
1692.csv -74.4903 39.4277
1693.csv -74.4903 39.4309
1694.csv -74.4903 39.4341
1695.csv -74.4903 39.4373
1696.csv -74.4903 39.4405
1697.csv -74.4903 39.4436
1698.csv -74.4903 39.4468
1699.csv -74.4903 39.45
1700.csv -74.4903 39.4532
1701.csv -74.4857 39.2972
1702.csv -74.4857 39.3004
1703.csv -74.4857 39.3036
1704.csv -74.4857 39.3068
1705.csv -74.4857 39.3099
1706.csv -74.4857 39.3131
1707.csv -74.4857 39.3163
1708.csv -74.4857 39.3195
1709.csv -74.4857 39.3227
1710.csv -74.4857 39.3259
1711.csv -74.4857 39.329
1712.csv -74.4857 39.3322
1713.csv -74.4857 39.3354
1714.csv -74.4857 39.3386
1715.csv -74.4857 39.3418
1716.csv -74.4857 39.345
1717.csv -74.4857 39.3481
1718.csv -74.4857 39.3513
1719.csv -74.4857 39.3545
1720.csv -74.4857 39.3577
1721.csv -74.4857 39.3609
1722.csv -74.4857 39.3641
1723.csv -74.4857 39.3672
1724.csv -74.4857 39.3704
1725.csv -74.4857 39.3736
1726.csv -74.4857 39.3768
1727.csv -74.4857 39.38
1728.csv -74.4857 39.3832
